#Dye 3 18C	
#Dybde	Densitet
0	345.3717043
1.1	345.3717043
1.1	368.143465
1.65	368.143465
1.65	387.1199323
2.2	387.1199323
2.2	389.017579
2.75	389.017579
2.75	432.6634537
3.3	432.6634537
3.3	411.7893397
3.85	411.7893397
3.85	406.0963996
4.4	406.0963996
4.4	445.9469808
4.95	445.9469808
4.95	449.7422743
5.5	449.7422743
5.5	464.9234481
6.05	464.9234481
6.05	487.6952088
6.6	487.6952088
6.6	470.6163883
7.15	470.6163883
7.15	508.5693228
7.7	508.5693228
7.7	506.6716761
8.25	506.6716761
8.25	502.8763826
8.8	502.8763826
8.8	495.2857957
9.35	495.2857957
9.35	523.7504966
9.9	523.7504966
9.9	516.1599097
10.45	516.1599097
10.45	538.9316705
11	538.9316705
11	552.2151975
11.55	552.2151975
11.55	559.8057844
12.1	559.8057844
12.1	556.010491
12.65	556.010491
12.65	550.3175508
13.2	550.3175508
13.2	552.2151975
13.75	552.2151975
13.75	557.9081377
14.3	557.9081377
14.3	556.010491
14.85	556.010491
14.85	571.1916648
15.4	571.1916648
15.4	605.3493059
15.95	605.3493059
15.95	567.3963714
16.5	567.3963714
16.5	574.9869583
17.05	574.9869583
17.05	582.5775452
17.6	582.5775452
17.6	590.1681321
18.15	590.1681321
18.15	609.1445993
18.7	609.1445993
18.7	593.9634255
19.25	593.9634255
19.25	609.1445993
19.8	609.1445993
19.8	612.9398928
20.35	612.9398928
20.35	636.0697001
20.88	636.0697001
20.88	587.7711046
21.45	587.7711046
21.45	616.7351863
22	616.7351863
22	624.3257732
22.55	624.3257732
22.55	624.3257732
23.1	624.3257732
23.1	631.9163601
23.65	631.9163601
23.65	631.9163601
24.2	631.9163601
24.2	624.3257732
24.75	624.3257732
24.75	613.4059815
25.32	613.4059815
25.32	651.8237484
25.85	651.8237484
25.85	650.8928273
26.4	650.8928273
26.4	650.8928273
26.95	650.8928273
26.95	620.8249421
27.53	620.8249421
27.53	692.4585893
28.05	692.4585893
28.05	658.4834142
28.6	658.4834142
28.6	660.381061
29.15	660.381061
29.15	664.1763544
29.7	664.1763544
29.7	669.8692946
30.25	669.8692946
30.25	667.9716479
30.8	667.9716479
30.8	658.4834142
31.35	658.4834142
31.35	656.5857675
31.9	656.5857675
31.9	666.0740012
32.45	666.0740012
32.45	664.1763544
33	664.1763544
33	673.6645881
33.55	673.6645881
33.55	681.255175
34.1	681.255175
34.1	666.0740012
34.65	666.0740012
34.65	679.3575282
35.2	679.3575282
35.2	675.5622348
35.75	675.5622348
35.75	654.6881208
36.3	654.6881208
36.3	688.8457619
36.85	688.8457619
36.85	692.6410553
37.4	692.6410553
37.4	692.6410553
37.95	692.6410553
37.95	715.4128161
38.5	715.4128161
38.5	692.6410553
39.05	692.6410553
39.05	696.4363488
39.6	696.4363488
39.6	719.2081095
40.15	719.2081095
40.15	740.0822235
40.7	740.0822235
40.7	719.2081095
41.25	719.2081095
41.25	711.6175226
41.8	711.6175226
41.8	726.7284132
42.34	726.7284132
42.34	695.1825465
42.9	695.1825465
42.9	756.6866324
43.42	756.6866324
43.42	689.2056604
44	689.2056604
44	726.7986964
44.55	726.7986964
44.55	726.7986964
45.1	726.7986964
45.1	734.3892833
45.65	734.3892833
45.65	734.3892833
46.2	734.3892833
46.2	734.3892833
46.75	734.3892833
46.75	741.9798702
47.3	741.9798702
47.3	734.3892833
47.85	734.3892833
47.85	738.1845768
48.4	738.1845768
48.4	734.3892833
48.95	734.3892833
48.95	741.9798702
49.5	741.9798702
49.5	745.7751637
50.05	745.7751637
50.05	760.9563375
50.6	760.9563375
50.6	760.9563375
51.15	760.9563375
51.15	757.1610441
51.7	757.1610441
51.7	753.3657506
52.25	753.3657506
52.25	760.9563375
52.8	760.9563375
52.8	768.5469244
53.35	768.5469244
53.35	787.5233917
53.9	787.5233917
53.9	768.5469244
54.45	768.5469244
54.45	741.9798702
55	741.9798702
55	783.7280982
55.55	783.7280982
55.55	818.9075491
56.07	818.9075491
56.07	737.7919602
56.65	737.7919602
56.65	797.0116253
57.2	797.0116253
57.2	760.9563375
57.75	760.9563375
57.75	813.3027434
58.28	813.3027434
58.28	776.3705557
58.85	776.3705557
58.85	836.8622066
59.4	836.8622066
59.4	791.3186851
59.95	791.3186851
59.95	802.7045655
60.5	802.7045655
60.5	798.909272
61.05	798.909272
61.05	800.8069188
61.6	800.8069188
61.6	833.0317715
62.14	833.0317715
62.14	786.5067952
62.7	786.5067952
62.7	814.0904459
63.25	814.0904459
63.25	808.3975057
63.8	808.3975057
63.8	815.9880926
64.35	815.9880926
64.35	815.9880926
64.9	815.9880926
64.9	806.499859
65.45	806.499859
65.45	808.3975057
66	808.3975057
66	831.0989832
66.54	831.0989832
66.54	795.8255961
67.1	795.8255961
67.1	795.1139786
67.65	795.1139786
67.65	814.0904459
68.2	814.0904459
68.2	815.9880926
68.75	815.9880926
68.75	823.5786795
69.3	823.5786795
69.3	806.499859
69.85	806.499859
69.85	852.0433804
70.4	852.0433804
70.4	819.783386
70.95	819.783386
70.95	842.5551468
71.5	842.5551468
71.5	831.1692664
72.05	831.1692664
72.05	844.4527935
72.6	844.4527935
72.6	829.2716197
73.15	829.2716197
73.15	842.5551468
73.7	842.5551468
73.7	825.4763262
74.25	825.4763262
74.25	836.8622066
74.8	836.8622066
74.8	806.499859
75.35	806.499859
75.35	844.4527935
75.9	844.4527935
75.9	831.1692664
76.45	831.1692664
76.45	834.9645599
77	834.9645599
77	878.2881927
77.53	878.2881927
77.53	805.6675578
78.1	805.6675578
78.1	842.5551468
78.65	842.5551468
78.65	852.0433804
79.2	852.0433804
79.2	840.6575
79.75	840.6575
79.75	840.6575
80.3	840.6575
80.3	857.7363206
80.85	857.7363206
80.85	855.8386739
81.4	855.8386739
81.4	863.4292608
81.95	863.4292608
81.95	848.2480869
82.5	848.2480869
82.5	861.531614
83.05	861.531614
83.05	863.4292608
83.6	863.4292608
83.6	855.8386739
84.15	855.8386739
84.15	817.8857393
84.7	817.8857393
84.7	871.0198477
85.25	871.0198477
85.25	789.4210384
85.8	789.4210384
85.8	857.7363206
86.35	857.7363206
86.35	859.6339673
86.9	859.6339673
86.9	852.0433804
87.45	852.0433804
87.45	852.0433804
88	852.0433804
88	853.9410271
88.55	853.9410271
88.55	878.6104346
89.1	878.6104346
89.1	867.2245542
89.65	867.2245542
89.65	869.1222009
90.2	869.1222009
90.2	872.9174944
90.75	872.9174944
90.75	859.6339673
91.3	859.6339673
91.3	874.8151411
91.85	874.8151411
91.85	869.1222009
92.4	869.1222009
92.4	872.9174944
92.95	872.9174944
92.95	869.1222009
93.5	869.1222009
93.5	878.6104346
94.05	878.6104346
94.05	880.5080813
94.6	880.5080813
94.6	848.2480869
95.15	848.2480869
95.15	878.6104346
95.7	878.6104346
95.7	878.6104346
96.25	878.6104346
96.25	874.8151411
96.8	874.8151411
96.8	876.7127878
97.35	876.7127878
97.35	871.0198477
97.9	871.0198477
97.9	871.0198477
98.45	871.0198477
98.45	886.2010215
99	886.2010215
99	880.5080813
99.55	880.5080813
99.55	882.099656
100.48	882.099656
100.48	871.9291367
101.44	871.9291367
101.44	867.9797402
102.42	867.9797402
102.42	878.366183
103.43	878.366183
103.43	891.0777695
104.36	891.0777695
104.36	903.804723
105.3	903.804723
105.3	872.3510327
106.305	872.3510327
106.305	887.6878375
107.275	887.6878375
107.275	885.9901718
108.175	885.9901718
108.175	887.6665308
109.185	887.6665308
109.185	887.1498448
110.085	887.1498448
110.085	886.8737322
111.03	886.8737322
111.03	887.1498448
112.01	887.1498448
112.01	887.1498448
112.99	887.1498448
